platform,source_post_id,source_post_url,post_title,post_author,post_time,post_content_summary,post_like_count,post_collect_count,comment_user,comment_time,comment_text,crawl_time
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,ZCYZOE,2025-07-29 23:21:48 上海,乐坛杜鹃，名不虚传，只能说这波谁都落不了好,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,一只八组鹅,2025-07-29 23:22:12 广东,支持张碧晨。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,可以吃七分饱吗,2025-07-29 23:23:30 陕西,只能说是没见过这个操作，周杰伦李荣浩给别人写那么多歌自己也唱过，没说自己是原唱吧，火了也没有要收回的😂,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:23:39 美国,https://www.douban.com/doubanapp/dispatch?uri=%2Fgroup%2Ftopic%2F332423985%3F_spm_id%3DOTg0NTU2NDU&_i=53802592e712b3a&dt_dapp=1完整版时间线 不体面的只有汪杜鹃 八组er没那么笨吧,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:23:54 江苏,双原唱真的是体面吗？你要不要再理一遍逻辑，首次演唱的是原唱，你觉得歌火了主动再录了加进来也能叫原唱吗？,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,楚慈,2025-07-29 23:24:13 安徽,汪这把弄的，大家以后如果买歌也肯定会防着他了，太下作了,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,seven,2025-07-29 23:24:30 四川,首发又咋了，大张伟的静止那么火，那么多年都不让他唱，争个title有啥用？,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,夫人夫人,2025-07-29 23:24:42 美国,争取双原唱就是窃取张碧晨把歌唱火的劳动成果，接杜鹃反噬,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,Tyche阿茶,2025-07-29 23:24:46 天津,就还是那句话，争这个有啥意义啊，有钱拿吗,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,久时溺鲤,2025-07-29 23:25:08 山东,不懂为啥要吵，没意义啊,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:25:19 美国,汪杜鹃争啊,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:25:19 四川,男的小气。 顺便去b站取关他了。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,窝惹你了嘛,2025-07-29 23:25:43 湖北,哪里体面了，这个体面是原唱让渡了自己的利益才能达成的,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:25:56 江苏,这是争title吗？这叫事实，不是208想要就能扭曲的事实,2026-05-29 15:46:48
