source_post_id,source_post_url,source_author,publish_time,text,repost_count,comment_count,like_count,spread_score
5194218987063944,https://weibo.com/6275217849/PDx46tDEA?refer_flag=1001030103_,君君的旅行日记,2025年07月30日 21:22,我对汪苏泷和张碧晨都不喜欢也不讨厌，就事论事，这事汪苏泷做的就是过分。 如果说张碧晨有错，唯一的问题在于她对于《年轮》唯一原唱的定义，是否让你认同。 “原唱”没有什么法律定义，是行业约定成俗的概念。在我看来，原唱是第一个发行歌曲的人。所以张碧晨是原唱，还是唯一的，我觉得没什么错。 当然，如果你觉得随后立刻发行《年轮》的汪苏泷也是原唱，那是我们的观念不一样，没有对错。 但这不是重点，重点是现在一群人在颠倒黑白，模糊时间线。 真正的时间线是： 旺仔小乔在2021年的一段发言被挖出来，她说《年轮》的原唱是张碧晨。但旺仔小乔也没说对汪苏泷任何不敬的话。 时隔四年，这段发言被有心挖出。两方骂战，我觉得极端的粉丝哪一家都有，很难界定谁对谁错。 随后，张碧晨在qq音乐的《年轮》原唱标识被取消。这时，张碧晨什么话也没说。 汪苏泷率先发声，说要拿回《年轮》的版权，取消所有其他歌手演唱的资格。 直到这时候张碧晨才发声，第一次说自己是唯一原唱。 接下来，粉丝就开始在颠倒黑白，模糊时间线。造成一种假象：汪苏泷说《年轮》是双原唱，张碧晨反驳说自己是唯一原唱，所以汪苏泷收回版权，不让张碧晨唱了，大快人心。 大多数人没那么较真，看到就以为是真的。这几天张碧晨也上了一堆热搜，还被荡妇羞辱，什么偷男明星内裤，偷生孩子。还造谣什么张碧晨偷偷授权给旺仔小乔，来收钱，汪苏泷十年不收钱，免费让张碧晨唱《年轮》，这些弱智谣言被大肆散布，路人被洗脑。 况且张碧晨下个月就要开演唱会，歌单就有《年轮》这首歌，这时候毫无预测的收回演唱权，是不是太过分了点？ 在粉丝的不懈努力下，大家都觉得手握版权就可以为所欲为。殊不知，音乐圈是互相尊重的，演唱者的贡献也很大。 周杰伦给多少人写过歌了？他收回倒带、夏天的风、世界末日的版权了吗？这其中有些人和他关系后来还恶化了，也没见他小气吧啦不让对方唱歌了吧？还有林俊杰、陶喆、王力宏、五月天，谁会干这种事？ 这波操作就是破坏了创作者和歌手之间的相互信任，有法可依，但做得很不厚道，破坏行业环境。 收起 d,1476,5461,72559,16888.100000000002
5192314130530481,https://weibo.com/2318910945/PCJvL2e09?refer_flag=1001030103_,新浪热点,2025年07月25日 15:13,【 #花千骨制片人回应年轮争议# 】对于近期《年轮》原唱争议，有网友认为是《花千骨》剧方请汪苏泷写了《年轮》作为插曲，并邀请汪苏泷和张碧晨分别演唱了男女版本。 #张碧晨方称享有年轮永久演唱权利# 对此，，她称该剧的OST除了《是夜》《不可说》《疤痕》之外，都是与海蝶音乐合作的。剧方是从海蝶提供的众多歌曲里盲选的《年轮》，当时海蝶提供的是张碧晨演唱的版本。因为当时很多歌手和创作者都和海蝶音乐有签约，所以剧方对于海蝶音乐和汪苏泷、张碧晨之间的合作细节并不知情。（腾讯娱乐） 收起 d,602,8456,67134,16264.6
5192232709657176,https://weibo.com/5660519061/PCHoqEwgU?refer_flag=1001030103_,互联网猫猫头,2025年07月25日 09:50,#李思睿 年轮回家# 可以说没有汪苏泷就没有《年轮》这首歌，双原唱对张碧晨也没啥影响，为啥这么坚持唯一原唱呢，就像白浅所说“我的眼睛放在你那儿放了三百年，怎么就变成了你的东西”，旺仔小乔还是太有实力了点，一句话直接让两位歌手难办，张碧晨告别年轮了 ​,213,3274,74537,15996.100000000002
5301459493064270,https://weibo.com/6471515953/R0BY1cR9I?refer_flag=1001030103_,喜塔腊猪eileen,05月22日 19:38,提前理解歌曲，还能照顾到原唱歌手歌迷的想法，不愧是周深 ，合作非常好唯一不好的是我不在现场,0,0,74746,14949.2
5193051066600340,https://weibo.com/5663510996/PD2GmrH36?refer_flag=1001030103_,无视方无终,2025年07月27日 16:01,#张碧晨年轮海外版权受限# 如果不是张碧晨这歌谁知道啊！ 不挑事也不怕事！她不唱我们就不听了！ 感觉张碧晨唱的年轮更好听，汪苏泷为什么要收回演唱权，双原唱不好吗 本来还挺喜欢汪苏泷的，因为这件事对他路好转路人了，不会再听他的歌了 ​,127,7386,62100,14699.3
5193795048049561,https://weibo.com/7647806002/PDm2kxM3D?refer_flag=1001030103_,后浪视频,2025年07月29日 17:18,【 #QQ音乐回应张碧晨仍是年轮原唱# 】  近日，因旺仔小乔称《年轮》原唱不是汪苏泷引争议， @张碧晨 方称自己为唯一原唱， @汪苏泷 方收回《年轮》授权，29日，QQ音乐仍然显示张碧晨为《花千骨》电视剧插曲《年轮》原唱。对此，QQ音乐回应称，《年轮》原唱标签问题内部很重视已反馈，原唱标是需要注册音乐人后上传歌曲和相应资料才可以有。 @后浪视频 #QQ音乐张碧晨仍是年轮原唱# L 后浪视频的微博视频 收起 d,849,5312,59516,13921.300000000001
5194470062821039,https://weibo.com/5523180767/PDDB4bPSD?refer_flag=1001030103_,汪苏泷Studio,2025年07月31日 14:00, 汪苏泷超话 #汪苏泷好爱日记# 在好天气回到熟悉的合肥，和韩红老师一起合唱起《年轮》，又是一番全新味道。全场一起唱起《像晴天像雨天》“好喜欢你”时，像是我们心照不宣的默契💕 十万伏特能量持续传递中⚡️我们八月见 L 汪苏泷Studio的微博视频 ​,2766,4534,52388,13220.8
5194174112729143,https://weibo.com/7307411548/PDvTJbrYr?refer_flag=1001030103_,打工小狗天天摸鱼版,2025年07月30日 18:24,#旺仔小乔是张碧晨最大的黑粉吧# 张碧晨广州站演唱会开票遇冷，直播间售票遭网友刷屏干扰，。此前因“旺仔小乔”言论引发《年轮》原唱争议。张碧晨曾称和汪苏泷关系非常好，曾说过“《年轮》是关系非常好的朋友为我写的”，最后双方关系演变成这样旺仔小乔可谓“功不可没”，对此你怎么看。 #暑期嘉年华# 收起 d,2669,2775,52978,12762.6
5192262918340717,https://weibo.com/6592462760/PCIb9yZNH?refer_flag=1001030103_,404企划,2025年07月25日 11:50,#张碧晨告别年轮# 呃……这哥们儿不止一次干这事儿了吧，歌被原唱唱🔥了他就自己唱一版，甚至给人家原唱干下架，然后自己就是原唱，当然这是种创作者的权利，但这种坑原唱的创作者还是谨慎合作吧 无论如何，在很多人看来张碧晨就是《年轮》当之无愧的原唱 ​,170,4760,55747,12662.400000000001
5193048411868924,https://weibo.com/1501563482/PD2C57QbW?refer_flag=1001030103_,明星娱乐新闻,2025年07月27日 15:51,#张碧晨年轮海外版权受限# 张碧晨版《年轮》在某音乐软件的海外区域的版权受限，变灰了，有网友解释是有bug，到底怎么回事啊 ​,457,3416,49105,11074.3
