"post_id","url","keyword","publish_time","author_name","author_type","text","repost_count","comment_count","like_count","topic_tag","crawl_time"
"5192185603425201","https://weibo.com/6004281123/PCGasen3b?refer_flag=1001030103_","汪苏泷 年轮","2025年07月25日 06:42","梨视频","媒体","【 #汪苏泷方决定收回年轮授权# 】7月25日，汪苏泷对接号 @SilenceRadio0917 发文：关于此次《年轮》歌曲因某博主不当话术引发的相关争议，我们本无意参与，并且第一时间积极沟通还原事情全貌，希望能减少负面舆论，但发现仍不断掉进风波中心。 作为创作者，我们尊重每一位合作方，也尊重音乐的生长规则，希望让关注回归音乐本身。在《年轮》发行十年之时，我们决定收回《年轮》授权，暂不授权该作品做任何演唱。 同时，关于因《年轮》产生的另一首歌曲《梦幻诛仙》的风波，我们第一时间在查询合约后，确认这首歌曲也是双原唱。 天眼查知识产权信息显示，“年轮”已被多方申请注册为商标，申请人包括多家医院、电子商务、新材料等公司及自然人，国际分类涉及燃料油脂、网站服务、教育娱乐等，当前商标状态多为已注册。 #汪苏泷就近期谣言告黑# #汪苏泷就近期网传不实不当言论告黑# 收起 d","1171","7875","218831","汪苏泷方决定收回年轮授权;汪苏泷就近期谣言告黑;汪苏泷就近期网传不实不当言论告黑","2026-05-29 16:18:49"
"5192407907831105","https://weibo.com/1428471193/PCLX0wRe9?refer_flag=1001030103_","汪苏泷 年轮","2025年07月25日 21:26","AUTO老徐","普通用户","#张碧晨方称享有年轮永久演唱权利# 汪苏泷：饭做好咯，你盛饭吧。 张碧晨：好的。 旺仔小乔：饭是张碧晨做的。 汪苏泷：饭是我做的，是张碧晨盛的，我们俩都参与了做饭。 张碧晨：饭是我一个人做的。 汪苏泷：那你别吃了。 ​","313","2159","40101","张碧晨方称享有年轮永久演唱权利","2026-05-29 16:18:49"
"5281975724149321","https://weibo.com/5523180767/QyoyUhpqx?refer_flag=1001030103_","汪苏泷 年轮","03月30日 01:16","汪苏泷Studio","官方/工作室"," 汪苏泷超话 #汪苏泷2026罗曼前传世巡# 「罗曼前传」收官之夜，欢呼来得比预想的热烈，不舍也来得比预想的浓烈🎇 为了每次见面足够新鲜，我们制造了不同的仪式感，《耿》前必有梗，《耿》中必有话；《像晴天像雨天》的魔法必定随着“3211”显现…💓 这次，他带着全新的主题全新的舞美走向了世界 带着世界名曲《有点甜》走向了世界 带着《剑魂》《三国杀》《年轮》等中国风音乐走向了世界 带着最新的专辑最新的原创音乐走向了世界 我们用一个月的时间，跨越南北半球经历超长飞行超长时差，完成了5站11场🎉 给「罗曼前传」以最好的口碑留下最传奇的故事👍 谢谢新加坡 谢谢每一个愿意跋山涉水来见面的朋友们 谢谢「罗曼前传」🔑 我们「明日世界」见 #汪苏泷2026世巡新加坡站# 收起 d","1626","2003","14191","汪苏泷2026罗曼前传世巡;汪苏泷2026世巡新加坡站","2026-05-29 16:18:49"
"5194174112729143","https://weibo.com/7307411548/PDvTJbrYr?refer_flag=1001030103_","汪苏泷 年轮","2025年07月30日 18:24","打工小狗天天摸鱼版","普通用户","#旺仔小乔是张碧晨最大的黑粉吧# 张碧晨广州站演唱会开票遇冷，直播间售票遭网友刷屏干扰，。此前因“旺仔小乔”言论引发《年轮》原唱争议。张碧晨曾称和汪苏泷关系非常好，曾说过“《年轮》是关系非常好的朋友为我写的”，最后双方关系演变成这样旺仔小乔可谓“功不可没”，对此你怎么看。 #暑期嘉年华# 收起 d","2669","2775","52978","旺仔小乔是张碧晨最大的黑粉吧","2026-05-29 16:18:49"
"5192562119279793","https://weibo.com/6301725233/PCPXJCW65?refer_flag=1001030103_","汪苏泷 年轮","2025年07月26日 07:39","饭圈天真妹","普通用户","年轮、下一秒、梦幻诛仙都是由汪苏泷作词作曲的 一首成功的歌曲离不了所有的创作者 #张碧晨有三首歌都是汪苏泷作词作曲# ​","1023","11998","174022","张碧晨有三首歌都是汪苏泷作词作曲","2026-05-29 16:18:49"
"5194470062821039","https://weibo.com/5523180767/PDDB4bPSD?refer_flag=1001030103_","汪苏泷 年轮","2025年07月31日 14:00","汪苏泷Studio","官方/工作室"," 汪苏泷超话 #汪苏泷好爱日记# 在好天气回到熟悉的合肥，和韩红老师一起合唱起《年轮》，又是一番全新味道。全场一起唱起《像晴天像雨天》“好喜欢你”时，像是我们心照不宣的默契💕 十万伏特能量持续传递中⚡️我们八月见 L 汪苏泷Studio的微博视频 ​","2766","4534","52388","汪苏泷好爱日记","2026-05-29 16:18:49"
"5193852563755709","https://weibo.com/1682207150/PDnx6fL1X?refer_flag=1001030103_","年轮 原唱","2025年07月29日 21:06","南方日报","媒体","【 #专家称张碧晨唯一原唱证据不足# 】 #专家分析张碧晨是否有权再唱年轮# 7月25日，因网红“旺仔小乔”称歌曲《年轮》的原唱是  张碧晨超话 、非  汪苏泷超话 而引发的争议，汪苏泷方回应表示该歌曲为“双原唱”，并宣布收回《年轮》的授权，暂不授权该作品做任何演唱。 随后，张碧晨工作室亦发布声明和相关证明资料，坚持张碧晨为该歌曲的“唯一原唱”。 “原唱”和“双原唱”的认定是什么？张碧晨方坚持“唯一原唱”的证据足够充分吗？ 海润天睿律师事务所高级合伙人、文化娱乐与传媒业务部主任杨曙光向记者分析，首先，从立法层面来说，我国目前并无单行法专门定义“原唱”，但可适用《著作权法》与《民法典》的体系解释。《著作权法》第40条规定，首次录制并公开发行录音制品的演唱者，享有“录音制作者权”中的表演者权。《民法典》第1023条规定，禁止在翻唱时以误导方式隐匿“首次公开发表的表演者身份”。学界与司法实践通常把该“首次公开发表的表演者”视为“原唱”。 其次，从行业惯例角度来说，是“时间优先”原则，也就是以录音制品的首次公开发行时间为准。如果同一作品存在多个官方授权版本（如男女声双版本）时，只要均系“首次公开发行”，可认定为“多原唱”。 杨曙光表示，张碧晨方提供的证据可证明其“女声版首发”的事实，满足“时间优先”要件；但并不能排除“多原唱”可能，汪苏泷作为词曲作者及版权人，其发行的男声版同样属于官方授权的首发录音制品，亦符合《民法典》第1023条对原唱的定义。因此，张碧晨方提供的证据只能证明“首唱”，尚不足以在法律上得出“唯一原唱”结论。 “张碧晨、汪苏泷各自对其演唱版本享有表演者权；‘原唱’并非排他性概念，只要符合‘首次公开发行’标准，可并存。司法实践与行业惯例均认可‘双原唱’模式。”杨曙光说。 有业内音乐版权专家亦向记者指出，从行业惯例来看，原唱通常是指第一个将歌曲以正式发行的方式推向公众的演唱者，强调的是“首次公开发行”这一关键要素。 在他看来，由于目前法律上并无“唯一原唱”的说法和认定标准，而根据“原唱”的定义和张碧晨提供的证据，按照行业约定俗成，认定张碧晨为原唱并无问题。“张碧晨确实是首个公开发行并广泛传播该歌曲录音版本的歌手，其证据符合法律和行业惯例对于原唱的认定标准。”因此，该专家认为张碧晨方主张的“原唱”具有其合法性，但是否为“唯一原唱”具体还需看当时签署的合同约定。 知名乐评人爱地人则认为，一首OST歌曲两个歌手同时唱，肯定事先签署了双原唱合约。“即使上线时间略有偏差，比如差一两天，甚至几小时、几分钟，但同一个档期同一个OST，不可能同一首歌曲还要分谁是原唱，那另一个版本叫翻唱？同一个剧上线，一首主题曲或插曲，一个原唱一个翻唱？歌手怎么会签这种合约。” 对于汪苏泷方宣布暂不授权《年轮》做任何演唱这一做法，杨曙光分析其中的法律要点时指出，汪苏泷享有《年轮》完整词曲著作权（发表权、复制权、信息网络传播权、改编权等），任何人翻唱均需其许可。著作权人有权单方终止非独占性许可；汪苏泷收回授权后，任何第三方（含张碧晨）如需继续商业性演唱或发行，必须重新取得汪苏泷授权，否则构成侵权。 版权专家亦向记者表示，根据《著作权法》，词曲作者享有音乐作品的著作权，著作权包含人身权和财产权，其中表演权赋予了词曲作者决定作品如何被表演、谁来表演的权利。汪苏泷作为《年轮》的词曲作者，对该作品拥有不可置疑的版权，有权决定是否授权他人演唱或使用该作品。 同时，该专家指出，张碧晨是否具备可以继续使用该作品的权利，仍需看回最早张碧晨演唱该作品时，是否有正式合同以及合同是否有相关的期限和条件，才能判断张碧晨在日后的使用权利。 此前，张碧晨与汪苏泷曾有过同台合作，在社交平台上亦有过友好互动。此次张碧晨宁愿站在汪苏泷主张的对立面，也要坚持“唯一原唱”的名义，当中可能的原因有哪些？ 版权专家分析，从法律和事实角度，张碧晨认为自己符合“原唱”定义，坚持“唯一原唱”是为了维护自身权益，明确自己在歌曲演唱层面的原创地位，避免自身演唱成果被模糊或忽视。而从商业角度看，“原唱”身份可能涉及到歌曲相关的收益分配、演出邀请、品牌合作等利益，明确“唯一原唱”有助于在后续商业活动中占据更有利地位。“歌曲版权变现途径不多，信息网络传播是其中重要的一种。业界有个说法，流量被分走，就意味着版税被分走。音乐平台上热歌的‘原唱’标识对收听流量和版税的影响，比你想象的还要大。” #QQ音乐回应张碧晨仍是年轮原唱# （南方都市报） 收起 d","1723","1887","29129","专家称张碧晨唯一原唱证据不足;专家分析张碧晨是否有权再唱年轮;QQ音乐回应张碧晨仍是年轮原唱","2026-05-29 16:19:21"
"5192222030957650","https://weibo.com/5856917412/PCH7d417Y?refer_flag=1001030103_","年轮 原唱","2025年07月25日 09:07","一只小团子嘻","普通用户","#汪苏泷方决定收回年轮授权# 汪：不要被博主误导，我写的歌但我们是双原唱 张碧晨方回应年轮原唱：我是唯一原唱  汪：好，那你以后别想唱了。本来两家是朋友现在被旺仔小乔搞成这样！大象音乐老板回应年轮原唱：年轮回家！！ ​","171","2550","42425","汪苏泷方决定收回年轮授权","2026-05-29 16:19:21"
"5192673235307954","https://weibo.com/1642591402/PCSQXmgQa?refer_flag=1001030103_","年轮 原唱","2025年07月26日 15:00","新浪娱乐","媒体","#张碧晨汪苏泷年轮合约存在信息差# #律师说原唱不是法律概念是宣传用词# 新浪娱乐 @娱理 工作室解读 @张碧晨 @汪苏泷 《年轮》原唱争议，分别咨询了三位权威版权律师，得出以下结论： 1、“原唱”不是一个明确的法律定义，更多是宣传中的概念，类似“番位”； 2、从行业惯例来说，通常认为首次公开演唱者是原唱； 3、《著作权法》对歌手的保护重点不在于谁是原唱，而是平等保护每位歌手所享有的表演者权； 4、张碧晨可能更多是出于情感或舆论方面的考虑，今后不再演唱《年轮》； 5、张碧晨已经录制过的版本依旧可以继续流传，只是演唱会现场成为绝唱。 收起 d","363","4863","41323","张碧晨汪苏泷年轮合约存在信息差;律师说原唱不是法律概念是宣传用词","2026-05-29 16:19:21"
"5192304609987365","https://weibo.com/7825912715/PCJgoFUax?refer_flag=1001030103_","年轮 原唱","2025年07月25日 14:35","小野的瓜田","普通用户","汪苏泷在之前的一档节目中就提到：《年轮》这首歌，词曲是我，原唱是我，除了张碧晨，这首歌都是我的。 其实汪苏泷也想让对方体面一点，奈何对方不给面子，行吧，那就别玩了。 #汪苏泷的版权意识有多强# ​","192","1967","38974","汪苏泷的版权意识有多强","2026-05-29 16:19:21"
