comment_id,platform,song_version,source_id,source_url,publish_time,user_name,text_raw,text_clean,like_count,reply_count,stance,frame,emotion,event_stage,is_valid,crawl_time,keyword_hit
qq_13,qqmusic,张碧晨版,,,2026-05-26,666,张碧晨最火的就这首，可是汪苏泷最火的不是这个啊😅汪苏泷歌单里面这个都排到后面了，后悔无期在线播放人数是这两倍 | 看看飙升榜还有收藏量，观众就是爱听张碧晨，你家哥哥就是不行😆,张碧晨最火的就这首，可是汪苏泷最火的不是这个啊汪苏泷歌单里面这个都排到后面了，后悔无期在线播放人数是这两倍 | 看看飙升榜还有收藏量，观众就是爱听张碧晨，你家哥哥就是不行,0,,support_zhang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_14,qqmusic,张碧晨版,,,2026-05-26,LSnly,汪苏泷唱年轮的时候她不知道在哪呢,汪苏泷唱年轮的时候她不知道在哪呢,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_15,qqmusic,张碧晨版,,,2026-05-26,🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥,是花千骨选择了张碧晨唱的年轮哈，汪汪队回家，找到wsl原唱证据了吗😹,是花千骨选择了张碧晨唱的年轮哈，汪汪队回家，找到wsl原唱证据了吗,11,,support_zhang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_16,qqmusic,张碧晨版,,,2026-05-26,收敛.,远离背刺姐 谁沾上谁倒霉😅,远离背刺姐 谁沾上谁倒霉,0,,support_zhang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_17,qqmusic,张碧晨版,,,2026-05-26,收敛.,张杜鹃继续偷偷摸摸一辈子吧 | 杜鹃这称号还是给汪比较合适,张杜鹃继续偷偷摸摸一辈子吧 | 杜鹃这称号还是给汪比较合适,1,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_18,qqmusic,张碧晨版,,,2026-05-25,Lee,可是 她不唱的话我也不会去听他的版本啊,可是 她不唱的话我也不会去听他的版本啊,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_19,qqmusic,张碧晨版,,,2026-05-25,西柚味,但是唱的都好听,但是唱的都好听,0,,neutral,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_20,qqmusic,张碧晨版,,,2026-05-25,forevermore,杜鹃这称号还是给汪比较合适 | 可惜了 张杜鹃唱不了喽,杜鹃这称号还是给汪比较合适 | 可惜了 张杜鹃唱不了喽,5,,support_wang,unclear,sad,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_21,qqmusic,张碧晨版,,,2026-05-25,小张一丁点可爱,结果连自己家演唱会唱的版本的调调都是女版的调调，太招笑啦，汪杜鹃拉都拉不回来😂,结果连自己家演唱会唱的版本的调调都是女版的调调，太招笑啦，汪杜鹃拉都拉不回来,2,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_22,qqmusic,张碧晨版,,,2026-05-24,收敛.,可惜了 张杜鹃唱不了喽,可惜了 张杜鹃唱不了喽,7,,support_wang,unclear,sad,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_23,qqmusic,张碧晨版,,,2026-05-24,茉莉不渡,听吐了,听吐了,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
